current_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
Alabama,2010,4729509,3987155,620465,108723,13166,Alabama,0
Alaska,2010,702974,565031,95878,36326,5739,Alabama,477
Arizona,2010,6332786,5069002,1001991,222725,39068,Alabama,416
Arkansas,2010,2888304,2387806,412997,79127,8374,Alabama,1405
California,2010,36907897,30790221,5413287,444749,259640,Alabama,3364
Colorado,2010,4988190,4042039,725413,186366,34372,Alabama,954
Connecticut,2010,3541146,3100742,342904,77333,20167,Alabama,896
Delaware,2010,889812,764640,90001,30759,4412,Alabama,128
District of Columbia ,2010,596747,474676,63766,51244,7061,Alabama,360
Florida,2010,18647600,15554008,2459530,482889,151173,Alabama,15830
Georgia,2010,9587237,8015409,1278548,249459,43821,Alabama,13840
Texas,2011,25327104,20984855,3648260,514726,179263,Michigan,15654
Utah,2011,2769627,2295961,373984,85217,14465,Michigan,1099
Vermont,2011,621354,537304,60719,20463,2868,Michigan,335
Virginia,2011,7996552,6789620,889751,257130,60051,Michigan,7323
Washington,2011,6748474,5565069,919925,208507,54973,Michigan,3720
West Virginia,2011,1836614,1609110,172262,50068,5174,Michigan,459
Wisconsin,2011,5647213,4846550,675623,109439,15601,Michigan,5623
Wyoming,2011,561389,462808,66648,30651,1282,Michigan,849
Puerto Rico,2011,3669195,3403602,238263,22649,4681,Michigan,88
Alabama,2012,4764428,4054260,590326,104600,15242,Michigan,2298
Alaska,2012,721186,592551,90613,33415,4607,Michigan,563
Arizona,2012,6468907,5242674,953789,232457,39987,Michigan,9598
Arkansas,2012,2912680,2453347,373046,76948,9339,Michigan,1283
California,2012,37572738,31777868,5046618,493641,254611,Michigan,8921
Colorado,2012,5123944,4131357,751921,205060,35606,Michigan,3343
Connecticut,2012,3555319,3114940,334918,80311,25150,Michigan,753
Delaware,2012,906576,782216,86003,34757,3600,Michigan,227
District of Columbia ,2012,624847,500267,61992,53830,8758,Michigan,944
Florida,2012,19114620,16032617,2380288,537148,164567,Michigan,23400
Georgia,2012,9796547,8231384,1236302,277466,51395,Michigan,9949
Hawaii,2012,1374852,1164145,134827,55145,20735,Michigan,321
Idaho,2012,1573036,1296975,210151,59283,6627,Michigan,683
Illinois,2012,12725119,11009321,1441191,208755,65852,Michigan,12583
Indiana,2012,6457067,5493090,805228,134137,24612,Michigan,11017
Iowa,2012,3035469,2585979,362938,75760,10792,Michigan,946
Kansas,2012,2848708,2361899,381695,88284,16830,Michigan,1125
Kentucky,2012,4328626,3676472,521511,112787,17856,Michigan,7302
Louisiana,2012,4545914,3912023,528406,91215,14270,Michigan,1080
Maine,2012,1315586,1132344,151438,27523,4281,Michigan,116
Maryland,2012,5816472,5068457,549973,154983,43059,Michigan,2167
Massachusetts,2012,6580641,5752166,626380,142577,59518,Michigan,1337
Michigan,2012,9778980,8330990,1268105,133981,45904,Michigan,0
Minnesota,2012,5315228,4536303,653012,101042,24871,Michigan,2212
Mississippi,2012,2947696,2529377,339807,73500,5012,Michigan,1768
Missouri,2012,5951913,4965459,801093,162930,22431,Michigan,2964
Montana,2012,995544,829489,126463,37690,1902,Michigan,822
Nebraska,2012,1829420,1540361,237937,43266,7856,Michigan,258
Nevada,2012,2725280,2105070,481496,124285,14429,Michigan,1235
New Hampshire,2012,1309203,1127376,125118,50484,6225,Michigan,426
New Jersey,2012,8772744,7929570,655465,130223,57486,Michigan,324
New Mexico,2012,2060595,1769341,226243,54693,10318,Michigan,602
New York,2012,19352153,17202134,1723117,270053,156849,Michigan,5191
North Carolina,2012,9640490,8167830,1149080,273149,50431,Michigan,6161
North Dakota,2012,689838,563978,84294,38213,3353,Michigan,757
Ohio,2012,11414635,9735390,1440815,196391,42039,Michigan,16336
Oklahoma,2012,3762311,3107367,531347,108972,14625,Michigan,1347
Oregon,2012,3857465,3158450,560673,118925,19417,Michigan,570
Pennsylvania,2012,12630082,11107110,1252378,215500,55094,Michigan,2642
Rhode Island,2012,1040527,899551,101165,33446,6365,Michigan,230
South Carolina,2012,4668886,3929626,564350,156705,18205,Michigan,2966
South Dakota,2012,821669,676014,115606,26051,3998,Michigan,892
Tennessee,2012,6378278,5396833,783077,177098,21270,Michigan,4507
Texas,2012,25711791,21354247,3656070,507752,193722,Michigan,9501
Utah,2012,2805440,2324019,373980,87870,19571,Michigan,1670
Vermont,2012,620224,532237,61242,24431,2314,Michigan,284
Virginia,2012,8085389,6857430,915242,250653,62064,Michigan,2982
Washington,2012,6815763,5648199,904695,215494,47375,Michigan,3470
West Virginia,2012,1837518,1613322,174112,47125,2959,Michigan,778
Wisconsin,2012,5660677,4849945,693737,99192,17803,Michigan,3917
Wyoming,2012,569734,459226,77324,31149,2035,Michigan,965
Puerto Rico,2012,3628402,3366593,238042,20044,3723,Michigan,435
Alabama,2013,4781296,4067683,594583,104102,14928,Michigan,2801
Alaska,2013,725193,583799,99953,34360,7081,Michigan,563
Arizona,2013,6543362,5321158,941347,236146,44711,Michigan,8099
Arkansas,2013,2923642,2475807,367837,70621,9377,Michigan,429
California,2013,37873189,32197933,4898331,485477,291448,Michigan,9172
Colorado,2013,5206012,4186643,778520,206543,34306,Michigan,2718
Connecticut,2013,3562959,3127421,325895,88351,21292,Michigan,1193
Delaware,2013,914025,791278,81363,36790,4594,Michigan,171
District of Columbia ,2013,636535,509958,68917,46571,11089,Michigan,622
Florida,2013,19345059,16199361,2442119,529406,174173,Michigan,19860
Georgia,2013,9870319,8256209,1279601,278972,55537,Michigan,8336
Hawaii,2013,1387361,1177733,135860,58083,15685,Michigan,447
Idaho,2013,1592596,1317235,205418,61592,8351,Michigan,378
Illinois,2013,12740816,11036387,1411859,223605,68965,Michigan,15022
Indiana,2013,6492306,5499346,835689,133508,23763,Michigan,9807
Iowa,2013,3053635,2585189,380270,75650,12526,Michigan,667
Kansas,2013,2854869,2386028,363906,89735,15200,Michigan,445
Kentucky,2013,4345186,3665604,558412,103207,17963,Michigan,4020
Louisiana,2013,4568320,3941211,519010,91889,16210,Michigan,1418
Maine,2013,1315753,1128262,146334,36780,4377,Michigan,79
Maryland,2013,5857213,5078020,572131,161525,45537,Michigan,935
Massachusetts,2013,6619999,5724592,700613,135150,59644,Michigan,1311
Michigan,2013,9784094,8296283,1294706,144091,49014,Michigan,0
Minnesota,2013,5353441,4585137,636274,104825,27205,Michigan,1678
Mississippi,2013,2957797,2531410,350982,68588,6817,Michigan,2083
Missouri,2013,5973448,5015609,779132,159936,18771,Michigan,1967
Montana,2013,1003013,827494,130187,40035,5297,Michigan,397
Nebraska,2013,1842900,1546788,241707,45854,8551,Michigan,915
Nevada,2013,2757365,2166730,447480,126583,16572,Michigan,1085
New Hampshire,2013,1310978,1128583,131200,44867,6328,Michigan,212
New Jersey,2013,8803679,7941559,667248,136907,57965,Michigan,2363
New Mexico,2013,2059689,1764969,224508,56808,13404,Michigan,517
New York,2013,19431954,17297785,1715158,272066,146945,Michigan,3030
North Carolina,2013,9737365,8233641,1176351,275922,51451,Michigan,6438
North Dakota,2013,714804,593677,78944,38908,3275,Michigan,513
Ohio,2013,11439593,9748676,1458505,185749,46663,Michigan,16503
Oklahoma,2013,3801521,3131192,545546,109255,15528,Michigan,1376
Oregon,2013,3888216,3154813,571472,143841,18090,Michigan,1283
Pennsylvania,2013,12639493,11113742,1240573,224280,60898,Michigan,3179
Rhode Island,2013,1040986,905093,94129,34108,7656,Michigan,613
South Carolina,2013,4720602,4000306,537062,166047,17187,Michigan,2988
South Dakota,2013,832703,691659,108713,30042,2289,Michigan,213
Tennessee,2013,6419226,5429144,779329,186525,24228,Michigan,5950
Texas,2013,26087349,21658382,3695565,548034,185368,Michigan,9969
Utah,2013,2854667,2361079,377528,97869,18191,Michigan,1656
Vermont,2013,621256,542002,53684,23180,2390,Michigan,92
Virginia,2013,8163664,6874626,962359,266348,60331,Michigan,3243
Washington,2013,6888552,5700703,927367,208215,52267,Michigan,2437
West Virginia,2013,1837863,1621269,161679,51957,2958,Michigan,978
Wisconsin,2013,5681024,4872672,688588,100846,18918,Michigan,5920
Wyoming,2013,575933,469511,76905,27584,1933,Michigan,905
Puerto Rico,2013,3579220,3329074,221047,24652,4447,Michigan,87
Alabama,2014,4791931,4081522,589211,107919,13279,Michigan,2559
Alaska,2014,725206,585916,97358,37842,4090,Michigan,140
Arizona,2014,6651964,5431241,922129,249730,48864,Michigan,9378
Arkansas,2014,2931123,2464189,383087,74741,9106,Michigan,801
California,2014,38340324,32849251,4659084,513968,318021,Michigan,11601
Colorado,2014,5293943,4263998,777699,218728,33518,Michigan,2858
Connecticut,2014,3558915,3111779,334207,82746,30183,Michigan,28
Delaware,2014,924770,810905,77246,32166,4453,Michigan,159
District of Columbia ,2014,648586,513634,67286,56234,11432,Michigan,334
Florida,2014,19683763,16504838,2436619,546501,195805,Michigan,23791
Georgia,2014,9970167,8406436,1238139,274095,51497,Michigan,7618
Hawaii,2014,1401004,1198766,131974,58144,12120,Michigan,944
Idaho,2014,1613068,1335689,207055,64633,5691,Michigan,415
Illinois,2014,12730206,11021611,1430902,209536,68157,Michigan,11653
Indiana,2014,6516181,5540754,810518,139846,25063,Michigan,9876
Iowa,2014,3067872,2594781,379518,79194,14379,Michigan,1813
Kansas,2014,2866584,2378716,376239,96467,15162,Michigan,1955
Kentucky,2014,4357819,3663490,575429,104975,13925,Michigan,2612
Louisiana,2014,4593505,3970442,511702,97814,13547,Michigan,1372
Maine,2014,1317638,1138397,134611,39065,5565,Michigan,268
Maryland,2014,5911235,5091903,615601,156787,46944,Michigan,2437
Massachusetts,2014,6674907,5784744,672510,146622,71031,Michigan,1817
Michigan,2014,9795659,8336037,1261495,149991,48136,Michigan,0
Minnesota,2014,5385219,4612655,635880,106783,29901,Michigan,1901
Mississippi,2014,2957658,2554296,321236,73927,8199,Michigan,2849
Missouri,2014,5992195,5042396,776519,153320,19960,Michigan,2985
Montana,2014,1012169,845142,126508,37561,2958,Michigan,842
Nebraska,2014,1855356,1541744,252232,52200,9180,Michigan,319
Nevada,2014,2806170,2235861,426512,130390,13407,Michigan,1323
New Hampshire,2014,1314735,1134514,133298,41393,5530,Michigan,157
New Jersey,2014,8840346,7961796,686056,128911,63583,Michigan,1442
New Mexico,2014,2060189,1770053,212456,68917,8763,Michigan,662
New York,2014,19528220,17418181,1693064,258571,158404,Michigan,3827
North Carolina,2014,9832152,8332705,1166928,286533,45986,Michigan,6339
North Dakota,2014,729874,602508,85084,39059,3223,Michigan,1284
Ohio,2014,11464891,9742065,1484132,196742,41952,Michigan,13480
Oklahoma,2014,3827288,3148699,550149,111346,17094,Michigan,778
Oregon,2014,3927857,3196441,571056,137008,23352,Michigan,980
Pennsylvania,2014,12645888,11103966,1241534,232889,67499,Michigan,5263
Rhode Island,2014,1045791,906936,98869,32621,7365,Michigan,296
South Carolina,2014,4780659,4046123,542930,171969,19637,Michigan,4002
South Dakota,2014,842076,701352,109496,28198,3030,Michigan,86
Tennessee,2014,6471445,5465071,796577,182130,27667,Michigan,6125
Texas,2014,26588600,22151594,3681042,538572,217392,Michigan,12267
Utah,2014,2894001,2407608,374578,90234,21581,Michigan,629
Vermont,2014,620898,536915,59850,22635,1498,Michigan,181
Virginia,2014,8224054,6891144,995822,262477,74611,Michigan,2608
Washington,2014,6979369,5757065,934922,220259,67123,Michigan,2276
West Virginia,2014,1831414,1617510,162340,47957,3607,Michigan,347
Wisconsin,2014,5692727,4868506,688104,117831,18286,Michigan,5593
Wyoming,2014,577782,475740,74601,25992,1449,Michigan,67
Puerto Rico,2014,3511186,3251389,237197,19771,2829,Michigan,55
Alabama,2015,4801599,4113945,561019,114876,11759,Michigan,2540
Alaska,2015,727862,582909,105769,34696,4488,Michigan,955
Arizona,2015,6747595,5536087,910911,253281,47316,Michigan,9069
Arkansas,2015,2938341,2440359,407352,81594,9036,Michigan,1922
California,2015,38675135,33446324,4377667,514477,336667,Michigan,8852
Colorado,2015,5393067,4404058,728077,227445,33487,Michigan,3739
Connecticut,2015,3554844,3109580,340126,76997,28141,Michigan,467
Delaware,2015,935813,800701,86009,44495,4608,Michigan,162
District of Columbia ,2015,663006,525024,67188,59905,10889,Michigan,1308
Florida,2015,20068392,16832374,2438828,584938,212252,Michigan,26138
Georgia,2015,10088525,8489689,1259007,283325,56504,Michigan,5744
Hawaii,2015,1414355,1206066,136796,53742,17751,Michigan,834
Idaho,2015,1635366,1333758,218791,73809,9008,Michigan,100
Illinois,2015,12706393,11029917,1399829,209828,66819,Michigan,11936
Indiana,2015,6540691,5527512,843210,147529,22440,Michigan,11465
Iowa,2015,3081446,2598298,386465,85937,10746,Michigan,730
Kansas,2015,2875640,2405677,360715,91340,17908,Michigan,2205
